600	33	3
1	0.05	0.01
185	1	271	19	2	3	A 3
186	0	271	24	5	2	C 2
187	0	272	12	2	3	B 1
188	2	273	16	3	2	A 1
189	1	274	10	1	5	A 1
190	0	275	14	3	1	C 2
191	2	276	23	4	1	C 2
192	0	278	15	4	3	A 1
193	2	279	11	5	3	C 1
194	0	281	18	1	1	D 1
195	1	283	14	5	1	C 1
196	0	285	20	2	4	D 1
197	0	285	27	3	3	B 2
198	1	288	22	5	2	C 4
199	1	290	24	5	5	B 3
200	2	292	11	5	1	D 5
-1
